type,url,date
 Journée mondiale des parents,https://www.journee-mondiale.com/342/journee-mondiale-des-parents.htm,1 juin
 Semaine Nationale de sensibilisation à l'hémochromatose,https://www.journee-mondiale.com/324/semaine-nationale-de-sensibilisation-a-l-hemochromatose.htm,1 juin
 Journée mondiale de la course à pieds,https://www.journee-mondiale.com/555/journee-mondiale-de-la-course-a-pieds.htm,1 juin
 Journée mondiale du lait,https://www.journee-mondiale.com/390/journee-mondiale-du-lait.htm,1 juin
 Journée mondiale des TCA,https://www.journee-mondiale.com/656/journee-mondiale-des-tca.htm,2 juin
 Journée Mondiale pour un Tourisme Responsable et Respectueux,https://www.journee-mondiale.com/91/journee-mondiale-pour-un-tourisme-responsable-et-respectueux.htm,2 juin
 Journée mondiale pour le vélo,https://www.journee-mondiale.com/513/journee-mondiale-pour-le-velo.htm,3 juin
 Journée nationale du donut,https://www.journee-mondiale.com/493/journee-nationale-du-donut.htm,3 juin
 Journée Internationale des enfants victimes innocentes d'agression,https://www.journee-mondiale.com/166/journee-internationale-des-enfants-victimes-innocentes-d-agression.htm,4 juin
 Journée Mondiale de l'environnement,https://www.journee-mondiale.com/170/journee-mondiale-de-l-environnement.htm,5 juin
 Journée de la mini-jupe,https://www.journee-mondiale.com/468/journee-de-la-mini-jupe.htm,6 juin
 Journée mondiale de l'orthoptique,https://www.journee-mondiale.com/339/journee-mondiale-de-l-orthoptique.htm,6 juin
 Journée mondiale de la maladie de Verneuil,https://www.journee-mondiale.com/387/journee-mondiale-de-la-maladie-de-verneuil.htm,6 juin
 Journée mondiale des martinets,https://www.journee-mondiale.com/607/journee-mondiale-des-martinets.htm,7 juin
 Journée mondiale anti contrefaçon,https://www.journee-mondiale.com/340/journee-mondiale-anti-contrefacon.htm,8 juin
 Journée Mondiale des océans,https://www.journee-mondiale.com/190/journee-mondiale-des-oceans.htm,8 juin
 Journée nationale d'hommage aux morts pour la France en Indochine,https://www.journee-mondiale.com/608/journee-nationale-d-hommage-aux-morts-pour-la-france-en-indochine.htm,8 juin
 Journée Internationale des Archives,https://www.journee-mondiale.com/311/journee-internationale-des-archives.htm,9 juin
 journée mondiale de sensibilisation aux passages à niveau,https://www.journee-mondiale.com/335/journee-mondiale-de-sensibilisation-aux-passages-a-niveau.htm,10 juin
 Journée internationale de la NASH,https://www.journee-mondiale.com/522/journee-internationale-de-la-nash.htm,10 juin
 Journée mondiale de la poupée,https://www.journee-mondiale.com/565/journee-mondiale-de-la-poupee.htm,11 juin
 Journée mondiale du tricot,https://www.journee-mondiale.com/40/journee-mondiale-du-tricot.htm,11 juin
 Journée mondiale du bien-être,https://www.journee-mondiale.com/452/journee-mondiale-du-bien-etre.htm,11 juin
 La Nuit du handicap,https://www.journee-mondiale.com/601/la-nuit-du-handicap.htm,11 juin
 Journée Mondiale contre le travail des enfants,https://www.journee-mondiale.com/26/journee-mondiale-contre-le-travail-des-enfants.htm,12 juin
 Semaine nationale de dépistage du cancer de la peau,https://www.journee-mondiale.com/47/semaine-nationale-de-depistage-du-cancer-de-la-peau.htm,12 juin
 Journée nationale de sensibilisation au TDAH,https://www.journee-mondiale.com/689/journee-nationale-de-sensibilisation-au-tdah.htm,12 juin
 Journée internationale de sensibilisation à l'albinisme,https://www.journee-mondiale.com/433/journee-internationale-de-sensibilisation-a-l-albinisme.htm,13 juin
 Journée Mondiale des donneurs de sang,https://www.journee-mondiale.com/39/journee-mondiale-des-donneurs-de-sang.htm,14 juin
 Journée mondiale de lutte contre la maltraitance des personnes âgées,https://www.journee-mondiale.com/45/journee-mondiale-de-lutte-contre-la-maltraitance-des-personnes-agees.htm,15 juin
 Journées de lutte contre les ambroisies,https://www.journee-mondiale.com/688/journees-de-lutte-contre-les-ambroisies.htm,15 juin
 Journée européenne du vent (de l'énergie éolienne),https://www.journee-mondiale.com/46/journee-europeenne-du-vent-de-l-energie-eolienne.htm,15 juin
 Journée Mondiale de l'enfant Africain,https://www.journee-mondiale.com/61/journee-mondiale-de-l-enfant-africain.htm,16 juin
 Journée nationale de la santé du pied,https://www.journee-mondiale.com/21/journee-nationale-de-la-sante-du-pied.htm,16 juin
 Journée nationale de l'agriculture,https://www.journee-mondiale.com/240/journee-nationale-de-l-agriculture.htm,17 juin
 Journée Mondiale de lutte contre la désertification et la sécheresse,https://www.journee-mondiale.com/70/journee-mondiale-de-lutte-contre-la-desertification-et-la-secheresse.htm,17 juin
